series,episode,baker_name,result,signature_bake,show_stopper,technical,baker_age,baker_occupation,hometown,baker
1,1,Annetha Mills,IN,Light Jamaican Black Cakewith Strawberries and Cream,"Red, White & Blue Chocolate Cake with Cigarellos, Fresh Fruit, and Cream",2,30,Midwife,Essex,Annetha
1,1,David Chambers,IN,Chocolate Orange Cake,"Black Forest Floor Gateauxwith Moulded Chocolate Leaves, Fallen Fruitand Chocolate Mushrooms Moulded from eggs",3,31,Entrepreneur,Milton Keynes,David
1,1,Edd Kimber,IN,Caramel Cinnamon and Banana Cake,NA,1,24,Debt collector for Yorkshire Bank,Bradford,Edd
1,1,Jasminder Randhawa,IN,Fresh Mango and Passion Fruit Hummingbird Cake,NA,NA,45,Assistant Credit Control Manager,Birmingham,Jasminder
1,1,Jonathan Shepherd,IN,Carrot Cake with Lime and Cream Cheese Icing,Three Tiered White and Dark Chocolate with Almond and Cherry,9,25,Research Analyst,St Albans,Jonathan
1,1,Lea Harris,OUT,Cranberry and Pistachio Cakewith Orange Flower Water Icing,Raspberries and Cream filled Chocolatewith Chocolate-dipped Fresh Fruit,10,51,Retired,"Midlothian, Scotland",Lea
1,1,Louise Brimelow,IN,Carrot and Orange Cake,"Never Fail Chocolate Sponge Cake,with Fresh Fruit, White & Chocolate Cigarello Border",NA,44,Police Officer,Manchester,Louise
1,1,Mark Whithers,OUT,Sticky Marmalade Tea Loaf,Heart-shaped Chocolate and Beetroot Cake with Store-Bought silver chocolate hearts and chocolate red and white roses.,NA,48,Bus Driver,South Wales,Mark
1,1,Miranda Browne,IN,"Triple Layered Brownie Meringue Cake
with Raspberry Cream",Three Tiered Chocolate Fudge Cake  with Handmade Chocolate Button Decorations,8,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex",Miranda
1,1,Ruth Clemens,IN,Three Tiered Lemon Drizzle Cakewith Fresh Cream and freshly made Lemon Curd,Classic Chocolate Sponge wrapped in a Chocolate Collartopped with Handmade White and Dark Chocolate Truffles,NA,31,Retail manager/Housewife,"Poynton, Cheshire",Ruth
1,2,Annetha Mills,OUT,Rose Petal Shortbread,Pink Swirl Macarons / Eclairs,7,30,Midwife,Essex,Annetha
1,2,David Chambers,IN,Cheddar Cheese and Fresh Rosemary Biscuits,Choux Pastry Swans  Chocolate Profiteroles,8,31,Entrepreneur,Milton Keynes,David
1,2,Edd Kimber,IN,Oatmeal Raisin Cookie,Pink Macarons,6,24,Debt collector for Yorkshire Bank,Bradford,Edd
